current_url,product_currency
file:///C:/Users/Generix/Desktop/BEST%C3%84LLNING%20RING/Skapa%20nytt%20kundkonto%20%20%20GLAMIRA.se.html,kr
file:///C:/Users/Usuario/Documents/OPERACION%20GUARIDA/CASA/GLAMIRA.html,€
http://glamira.local/glgb/checkout/onepage/success/,£
http://glamira.local/glus/checkout/onepage/success/,$
https://dev1.glamira.de/cotr/checkout/onepage/success/,₺
https://dev1.glamira.de/glde/checkout/onepage/success/,€
https://dev1.glamira.de/glgb/checkout/onepage/success/,£
https://dev3.glamira.de/glmt/checkout/onepage/success/,€
https://dev3.glamira.de/glus/checkout/onepage/success/,$
https://dev5.glamira.de/glde/checkout/onepage/success/,€
https://stage.glamira.de/glde/checkout/onepage/success/,€
https://stage.glamira.de/glgb/checkout/onepage/success/,£
https://stage.glamira.de/glmt/checkout/onepage/success/?utm_nooverride=1,€
https://stage.glamira.de/glro/checkout/onepage/success/,RON
https://stage.glamira.de/glsi/checkout/onepage/success/,€
https://stage.glamira.de/glus/checkout/onepage/success/,$
https://www.glamira.ae/checkout/onepage/success/,AED
https://www.glamira.at/checkout/onepage/success/,€
https://www.glamira.be/checkout/onepage/success/,€
https://www.glamira.be/fr/checkout/onepage/success/,€
https://www.glamira.bg/checkout/onepage/success/,лв.
https://www.glamira.ca/checkout/onepage/success/,CAD $
https://www.glamira.ca/fr/checkout/onepage/success/,CAD $
https://www.glamira.ch/checkout/onepage/success/,CHF
https://www.glamira.ch/fr/checkout/onepage/success/,CHF
https://www.glamira.ch/it/checkout/onepage/success/,CHF
https://www.glamira.cl/checkout/onepage/success/,CLP
https://www.glamira.cn/checkout/onepage/success/,￥
https://www.glamira.co.cr/checkout/onepage/success/,CRC ₡
https://www.glamira.co.nz/checkout/onepage/success/,NZD $
https://www.glamira.co.uk/checkout/onepage/success/,£
https://www.glamira.co.za/checkout/onepage/success/,ZAR
https://www.glamira.com.ar/checkout/onepage/success/,$
https://www.glamira.com.au/checkout/onepage/success/,AU $
https://www.glamira.com.bo/checkout/onepage/success/,BOB Bs
https://www.glamira.com.br/checkout/onepage/success/,R$
https://www.glamira.com.co/checkout/onepage/success/,COP $
https://www.glamira.com.do/checkout/onepage/success/,DOP $
https://www.glamira.com.ec/checkout/onepage/success/,USD $
https://www.glamira.com.gt/checkout/onepage/success/,GTQ Q
https://www.glamira.com.kw/checkout/onepage/success/,د.ك.‏
https://www.glamira.com.mt/checkout/onepage/success/,€
https://www.glamira.com.mx/checkout/onepage/success/,MXN $
https://www.glamira.com.pe/checkout/onepage/success/,PEN S/.
https://www.glamira.com.ph/checkout/onepage/success/,₱
https://www.glamira.com.pr/checkout/onepage/success/,USD $
https://www.glamira.com.py/checkout/onepage/success/,₲
https://www.glamira.com.tr/checkout/onepage/success/,₺
https://www.glamira.com.uy/checkout/onepage/success/,UYU
https://www.glamira.com/checkout/onepage/success/,$
https://www.glamira.com/es/checkout/onepage/success/,$
https://www.glamira.cz/checkout/onepage/success/,Kč
https://www.glamira.de/checkout/onepage/success/,€
https://www.glamira.dk/checkout/onepage/success/,kr
https://www.glamira.ee/checkout/onepage/success/,€
https://www.glamira.es/checkout/onepage/success/,€
https://www.glamira.fi/checkout/onepage/success/,€
https://www.glamira.fr/checkout/onepage/success/,€
https://www.glamira.hk/checkout/onepage/success/,HKD $
https://www.glamira.hk/cn/checkout/onepage/success/,$
https://www.glamira.hr/checkout/onepage/success/,kn
https://www.glamira.hu/checkout/onepage/success/,Ft
https://www.glamira.ie/checkout/onepage/success/,€
https://www.glamira.in/checkout/onepage/success/,₹
https://www.glamira.it/checkout/onepage/success/,€
https://www.glamira.jp/checkout/onepage/success/,￥
https://www.glamira.lt/checkout/onepage/success/,€
https://www.glamira.lv/checkout/onepage/success/,€
https://www.glamira.md/checkout/onepage/success/,Lei
https://www.glamira.nl/checkout/onepage/success/,€
https://www.glamira.no/checkout/onepage/success/,kr
https://www.glamira.pl/checkout/onepage/success/,zł
https://www.glamira.pt/checkout/onepage/success/,€
https://www.glamira.ro/checkout/onepage/success/,RON
https://www.glamira.rs/checkout/onepage/success/, din.
https://www.glamira.se/checkout/onepage/success/,kr
https://www.glamira.sg/checkout/onepage/success/,SGD $
https://www.glamira.si/checkout/onepage/success/,€
https://www.glamira.sk/checkout/onepage/success/,€
https://www.glamira.vn/checkout/onepage/success/,₫
https://www.ring-paare.de/checkout/onepage/success/,€
